53	 -0.3000	 -0.2800	 -0.0800	 -0.0200	 -0.0300	 -0.0200	 -0.0300	 -0.0200
53 s	 -0.3100	 -0.2800	 -0.1300	 -0.0700	 -0.0500	 0.0700	 -0.0400	 -0.0400
52	 -0.2900	 -0.3300	 -0.0600	 -0.0300	 -0.0200	 -0.0200	 -0.0200	 -0.0300
52 s	 -0.2900	 -0.3000	 0.0500	 -0.1000	 -0.0700	 -0.0600	 -0.0700	 -0.0700
43	 -0.3000	 -0.3700	 -0.0800	 -0.0600	 -0.0300	 -0.0300	 -0.0300	 -0.0100
43 s	 -0.2300	 -0.2600	 -0.1100	 -0.0500	 -0.1200	 -0.0500	 -0.0700	 -0.1500
42	 -0.2400	 -0.3900	 -0.0800	 -0.0200	 -0.0200	 -0.0200	 -0.0200	 -0.0300
42 s	 -0.2600	 -0.3500	 -0.1200	 -0.1200	 -0.1200	 -0.1300	 -0.0500	 -0.0800
32	 -0.2900	 -0.3800	 -0.0800	 -0.0400	 -0.0400	 -0.0300	 -0.0300	 -0.0400
32 s	 -0.3200	 -0.2600	 -0.1800	 -0.1300	 -0.1200	 -0.1000	 -0.0900	 -0.0800

